model,asa_context,n,asa_buried_cut,asa_exposed_cut,rmse,mae,r,pred_std_ratio,pred_vs_true_slope,residual_vs_true_slope
ElasticNet (condition_aware),buried/low_ASA,100,10.41,38.86,2.14721661925176,1.6294922675967214,0.6787831887266674,0.17427421165534693,0.1182944051002426,-0.8817055948997575
ElasticNet (condition_aware),exposed/high_ASA,112,10.41,38.86,1.2523065204160868,1.0059797263996941,0.3090482827628597,0.3656438589522598,0.1130016067119812,-0.886998393288019
ElasticNet (mutation_only),buried/low_ASA,100,10.41,38.86,2.2254549870914664,1.6609110171794887,0.5850452275545434,0.2129302125268412,0.12457380464100311,-0.8754261953589971
ElasticNet (mutation_only),exposed/high_ASA,112,10.41,38.86,1.2830115352205362,1.0298526243865491,0.18212693545786293,0.44808143171331793,0.08160769799351836,-0.9183923020064818
HistGradientBoosting (condition_aware),buried/low_ASA,100,10.41,38.86,1.8908734305981512,1.4722656198979707,0.6503384909232389,0.452991368213042,0.2945977228049232,-0.7054022771950771
HistGradientBoosting (condition_aware),exposed/high_ASA,112,10.41,38.86,1.2815241815989873,1.0230902958431767,0.20688416174865545,0.41048248459612274,0.08492232473817422,-0.9150776752618258
HistGradientBoosting (mutation_only),buried/low_ASA,100,10.41,38.86,2.280483995156931,1.7888551815460636,0.35534279904098276,0.4377174082078823,0.15553972902155336,-0.8444602709784468
HistGradientBoosting (mutation_only),exposed/high_ASA,112,10.41,38.86,1.5336411140322257,1.2179736350245094,0.2075078217512484,0.6908000434833347,0.14334641228889444,-0.8566535877111058
Ridge (condition_aware),buried/low_ASA,100,10.41,38.86,2.054335302535916,1.5347584984898563,0.6690667177357559,0.25997604097236277,0.17394131642331515,-0.8260586835766853
Ridge (condition_aware),exposed/high_ASA,112,10.41,38.86,1.258147893941468,0.9945663934733187,0.1851377488241306,0.5120032883105954,0.09479113618837597,-0.9052088638116241
Ridge (mutation_only),buried/low_ASA,100,10.41,38.86,2.1894518229540596,1.6246282620429988,0.6055842737840226,0.26174295852763957,0.15850741945804214,-0.8414925805419582
Ridge (mutation_only),exposed/high_ASA,112,10.41,38.86,1.303808218705501,1.0291569040289947,0.14395796689171006,0.5552564576347158,0.07993359074458661,-0.9200664092554133
V1 local_delta available-graph GNN,buried/low_ASA,100,10.41,38.86,2.0697733823956512,1.4741351543531591,0.6158233673682956,0.32730343945025564,0.2015611062334815,-0.7984388937665186
V1 local_delta available-graph GNN,exposed/high_ASA,112,10.41,38.86,1.1854598082169032,0.9140595816752217,0.3458452164260229,0.5831169373768089,0.20166820340876207,-0.7983317965912377
V2 local_delta + condition feats available-graph GNN,buried/low_ASA,100,10.41,38.86,2.086885773453404,1.544261841300252,0.6395747045869712,0.2543220803039721,0.16265796938035676,-0.837342030619643
V2 local_delta + condition feats available-graph GNN,exposed/high_ASA,112,10.41,38.86,1.1719649726578523,0.9083815670814026,0.4103148729105566,0.48555968664005905,0.1992323611142054,-0.8007676388857944
V3 local + global + condition feats available-graph GNN,buried/low_ASA,100,10.41,38.86,2.117525571591042,1.575927599509887,0.6056143130865826,0.25442019811631505,0.15408051351756433,-0.8459194864824354
V3 local + global + condition feats available-graph GNN,exposed/high_ASA,112,10.41,38.86,1.1899351334910557,0.9262783839355219,0.32762035786076793,0.48193690275999806,0.15789234054854065,-0.8421076594514592
V4 structure-only distance-aware GNN,buried/low_ASA,76,10.41,38.86,1.5390714225519688,1.1926468316142267,0.8076655406416297,0.4068794456642623,0.3286225074583931,-0.6713774925416074
V4 structure-only distance-aware GNN,exposed/high_ASA,92,10.41,38.86,0.9914507954559123,0.7989945742890641,0.2693913922808027,0.7880425300098026,0.21229187433582686,-0.7877081256641726
