model,family,n_seeds,test_rmse_mean,test_rmse_std,test_mae_mean,test_r_mean,test_r_std,test_y_true_std,test_y_pred_std_mean,test_pred_std_ratio_mean,test_pred_vs_true_slope_mean,test_residual_vs_true_slope_mean,params,best_epoch_mean,train_rmse_mean,val_rmse_mean,rank_by_rmse,rank_by_r
HistGradientBoosting (condition_aware),tabular,1,1.5204087343330142,,1.0666738775766127,0.49588225793983204,,1.7342028724369822,0.7918595691138269,0.45661299591844706,0.22642628342071114,-0.7735737165792899,,,,,1.0,2.0
V2 local_delta + condition feats available-graph GNN,available_graph_gnn,3,1.554667818762973,0.024622745170253462,1.0616128512698093,0.4507969806843028,0.02351727947743689,1.7342028786729642,0.6518543447919004,0.37588124942492795,0.1700833506543313,-0.8299166493456699,17905.0,5.0,1.749657054261491,1.4164721022756002,2.0,3.0
V3 local + global + condition feats available-graph GNN,available_graph_gnn,3,1.6090196453720444,0.01611795373340214,1.103834565096342,0.37833099734944886,0.01968471100876357,1.7342028786729642,0.5788948533927364,0.3338103404808754,0.12654659628136575,-0.8734534037186356,20209.0,3.3333333333333335,1.797055123158141,1.4020790368579223,3.0,4.0
V1 local_delta available-graph GNN,available_graph_gnn,3,1.615211541369205,0.023463683082015838,1.112589327838969,0.37813299762972846,0.044213021197602224,1.7342028786729642,0.6055724312079492,0.34919353361432637,0.13237810473014996,-0.8676218952698513,14833.0,12.666666666666666,1.729075137958161,1.4173198294147096,4.0,5.0
V4 structure-only distance-aware GNN,structure_gnn,3,1.6265333419251478,0.007904642577759467,1.1591753966340315,0.5307877526469703,0.00839412605877627,1.8440850554768744,0.8269159142408132,0.44841527877735304,0.23786053035292787,-0.7621394696470719,20209.0,8.0,1.645048221695988,1.2066448017132658,5.0,1.0
ElasticNet (mutation_only),tabular,1,1.6477489113481012,,1.1276108934533355,0.3159602244057121,,1.7342028724369822,0.49897186314869474,0.28772404375476346,0.09090935343167403,-0.9090906465683268,,,,,6.0,7.0
HistGradientBoosting (mutation_only),tabular,1,1.6965285447386973,,1.2017224062689162,0.31105943567095695,,1.7342028724369822,0.8276172626428702,0.47723209077601403,0.14844754484085787,-0.851552455159143,,,,,7.0,8.0
ElasticNet (condition_aware),tabular,1,1.718932736572065,,1.325240183397986,0.30827082856267574,,1.7342028724369822,0.9212325379118541,0.531213823107844,0.16375772539340197,-0.8362422746065992,,,,,8.0,9.0
Ridge (condition_aware),tabular,1,1.7216967195081272,,1.3332795370099153,0.34644672743624405,,1.7342028724369822,0.9967293184236626,0.5747478188771608,0.19911950095111156,-0.8008804990488895,,,,,9.0,6.0
Ridge (mutation_only),tabular,1,1.757504110549458,,1.3263599643792663,0.2856100389110846,,1.7342028724369822,0.8305574730636525,0.47892751549679685,0.13678650633662937,-0.8632134936633712,,,,,10.0,10.0
Mean baseline,baseline,1,1.7830934842769484,,1.2783392798278541,,,1.734202878672964,2.220446049250313e-16,1.280384248323604e-16,-1.6151268157262638e-16,-1.0000000000000016,,,,,11.0,
