model,split,rmse,mae,r,y_true_std,y_pred_std,pred_std_ratio,y_pred_min,y_pred_max,pred_vs_true_slope,residual_vs_true_slope,feature_mode
Ridge (mutation_only),train,1.767017684870368,1.1736570388485534,0.3990679083345629,1.9253774480957246,0.6932253781321848,0.3600464827391701,-2.5713348388671875,1.2392849922180176,0.14368299676993715,-0.8563170032300627,mutation_only
Ridge (mutation_only),val,1.451583250833852,1.0549304431511297,0.35905424476505177,1.5079211841326654,0.6777812211108546,0.4494805353508609,-2.535438299179077,0.8767797350883484,0.16138789415699456,-0.8386121058430055,mutation_only
Ridge (mutation_only),test,1.757504110549458,1.3263599643792663,0.2856100389110846,1.7342028724369822,0.8305574730636525,0.47892751549679685,-1.947314977645874,1.2847115993499756,0.13678650633662937,-0.8632134936633712,mutation_only
ElasticNet (mutation_only),train,1.7836178192883227,1.1834165300724127,0.3885758566332677,1.9253774480957246,0.5638988539751228,0.2928770431651422,-2.1150221824645996,0.8041596412658691,0.11380494793611386,-0.8861950520638858,mutation_only
ElasticNet (mutation_only),val,1.4820130237489917,1.0949954436790375,0.34128212658064244,1.5079211841326654,0.5287207435790928,0.3506288983420612,-2.0312438011169434,0.377416729927063,0.11966337606680655,-0.8803366239331933,mutation_only
ElasticNet (mutation_only),test,1.6477489113481012,1.1276108934533355,0.3159602244057121,1.7342028724369822,0.49897186314869474,0.28772404375476346,-1.7430167198181152,0.7054872512817383,0.09090935343167403,-0.9090906465683268,mutation_only
HistGradientBoosting (mutation_only),train,1.1798155436061009,0.7013751879270838,0.8042773777758033,1.9253774480957246,1.2610491947699103,0.6549620678361733,-5.892711749251434,2.857210449099939,0.5267711744618954,-0.4732288255381043,mutation_only
HistGradientBoosting (mutation_only),val,1.6449644784928232,1.1757444683614917,0.22608949042209422,1.5079211841326654,0.9412286224332287,0.624189534796283,-3.769864397360985,1.9053264042160087,0.14112269384889572,-0.858877306151104,mutation_only
HistGradientBoosting (mutation_only),test,1.6965285447386973,1.2017224062689162,0.31105943567095695,1.7342028724369822,0.8276172626428702,0.47723209077601403,-5.3488770293778,1.2308850248925072,0.14844754484085787,-0.851552455159143,mutation_only
Ridge (condition_aware),train,1.695845408472396,1.1039249636599209,0.47762561553635186,1.9253774480957246,0.7992138762821596,0.4150946491414523,-2.8980624675750732,1.9050297737121582,0.19825983730203237,-0.8017401626979673,condition_aware
Ridge (condition_aware),val,1.4768830904963628,1.0851995472893827,0.3329703611111262,1.5079211841326654,0.7270629535427807,0.48216243739620707,-2.734635829925537,1.4142463207244873,0.16054580089403592,-0.8394541991059639,condition_aware
Ridge (condition_aware),test,1.7216967195081272,1.3332795370099153,0.34644672743624405,1.7342028724369822,0.9967293184236626,0.5747478188771608,-2.4610207080841064,1.4533188343048096,0.19911950095111156,-0.8008804990488895,condition_aware
ElasticNet (condition_aware),train,1.7435949084154567,1.1378337034521868,0.44432317527008025,1.9253774480957246,0.6007198831161434,0.3120011007245771,-2.256396770477295,1.1923565864562988,0.13862931976170445,-0.861370680238295,condition_aware
ElasticNet (condition_aware),val,1.5210877762716795,1.1541009484988356,0.2747918980516662,1.5079211841326654,0.5483595855857822,0.36365268381131655,-2.0987629890441895,1.078302025794983,0.09992881121609415,-0.9000711887839058,condition_aware
ElasticNet (condition_aware),test,1.718932736572065,1.325240183397986,0.30827082856267574,1.7342028724369822,0.9212325379118541,0.531213823107844,-2.147671699523926,1.327876329421997,0.16375772539340197,-0.8362422746065992,condition_aware
HistGradientBoosting (condition_aware),train,1.0546493602698308,0.6060244957699201,0.8515772839341779,1.9253774480957246,1.3345364085308264,0.6931297600118544,-6.170460626167503,3.1570017453722743,0.5902535584448434,-0.4097464415551562,condition_aware
HistGradientBoosting (condition_aware),val,1.510526789596795,1.10459330849705,0.3614584532780668,1.5079211841326654,0.7712268799086085,0.5114503914554441,-4.905435431893593,0.7896933102585851,0.18486806742394668,-0.8151319325760532,condition_aware
HistGradientBoosting (condition_aware),test,1.5204087343330142,1.0666738775766127,0.49588225793983204,1.7342028724369822,0.7918595691138269,0.45661299591844706,-4.780658872198631,0.7707908458202329,0.22642628342071114,-0.7735737165792899,condition_aware
