split_strategy,feature,importance
Per-Mutation,delta_hydrophobicity,0.0331078
Per-Mutation,delta_charge,0.019559972
Per-Mutation,delta_weight,0.038400516
Per-Mutation,WT_A,0.00804963
Per-Mutation,WT_C,0.042974968
Per-Mutation,WT_D,0.0087746065
Per-Mutation,WT_E,0.0
Per-Mutation,WT_F,0.012299988
Per-Mutation,WT_G,0.009749527
Per-Mutation,WT_H,0.026516398
Per-Mutation,WT_I,0.076495215
Per-Mutation,WT_K,0.004474788
Per-Mutation,WT_L,0.022003079
Per-Mutation,WT_M,0.01734679
Per-Mutation,WT_N,0.045670904
Per-Mutation,WT_P,0.009776561
Per-Mutation,WT_Q,0.008919776
Per-Mutation,WT_R,0.1674803
Per-Mutation,WT_S,0.0051668626
Per-Mutation,WT_T,0.02718223
Per-Mutation,WT_V,0.040210642
Per-Mutation,WT_W,0.0044164592
Per-Mutation,WT_Y,0.011111701
Per-Mutation,MUT_A,0.014794301
Per-Mutation,MUT_C,0.015492563
Per-Mutation,MUT_D,0.01930595
Per-Mutation,MUT_E,0.0004627887
Per-Mutation,MUT_F,0.0083817765
Per-Mutation,MUT_G,0.03658539
Per-Mutation,MUT_H,0.021702275
Per-Mutation,MUT_I,0.010448346
Per-Mutation,MUT_K,0.059352458
Per-Mutation,MUT_L,0.021795982
Per-Mutation,MUT_M,0.014124261
Per-Mutation,MUT_N,0.032750014
Per-Mutation,MUT_P,0.0
Per-Mutation,MUT_Q,0.0077345534
Per-Mutation,MUT_R,0.0
Per-Mutation,MUT_S,0.033210672
Per-Mutation,MUT_T,0.021159941
Per-Mutation,MUT_V,0.027701067
Per-Mutation,MUT_W,0.009392072
Per-Mutation,MUT_Y,0.0059169494
Protein-Level,delta_hydrophobicity,0.031853918
Protein-Level,delta_charge,0.016703058
Protein-Level,delta_weight,0.023609232
Protein-Level,WT_A,0.017753739
Protein-Level,WT_C,0.12303981
Protein-Level,WT_D,0.010709777
Protein-Level,WT_E,0.015153957
Protein-Level,WT_F,0.021745916
Protein-Level,WT_G,0.0057766917
Protein-Level,WT_H,0.019192874
Protein-Level,WT_I,0.017603194
Protein-Level,WT_K,0.0067240186
Protein-Level,WT_L,0.020484002
Protein-Level,WT_M,0.0
Protein-Level,WT_N,0.0849719
Protein-Level,WT_P,0.028161645
Protein-Level,WT_Q,0.008682554
Protein-Level,WT_R,0.013418483
Protein-Level,WT_S,0.009156316
Protein-Level,WT_T,0.02466452
Protein-Level,WT_V,0.0152840875
Protein-Level,WT_W,0.031321384
Protein-Level,WT_Y,0.0
Protein-Level,MUT_A,0.021129007
Protein-Level,MUT_C,0.025835827
Protein-Level,MUT_D,0.013310256
Protein-Level,MUT_E,0.00010714851
Protein-Level,MUT_F,0.008242506
Protein-Level,MUT_G,0.031022638
Protein-Level,MUT_H,0.016907487
Protein-Level,MUT_I,0.12552333
Protein-Level,MUT_K,0.014801261
Protein-Level,MUT_L,0.018998595
Protein-Level,MUT_M,0.013549214
Protein-Level,MUT_N,0.04410229
Protein-Level,MUT_P,0.02424408
Protein-Level,MUT_Q,0.005698535
Protein-Level,MUT_R,0.0
Protein-Level,MUT_S,0.016422179
Protein-Level,MUT_T,0.031592708
Protein-Level,MUT_V,0.015247613
Protein-Level,MUT_W,0.022975713
Protein-Level,MUT_Y,0.0042785914
