split_strategy,set,epoch,rmse,best_iteration
Per-Mutation,train,0,2.0856355889341964,29
Per-Mutation,train,1,2.046888231094491,29
Per-Mutation,train,2,2.017243180391553,29
Per-Mutation,train,3,1.9897859353244085,29
Per-Mutation,train,4,1.9728058614978945,29
Per-Mutation,train,5,1.9383926557889108,29
Per-Mutation,train,6,1.911678899732626,29
Per-Mutation,train,7,1.8863562422115265,29
Per-Mutation,train,8,1.8704181147405747,29
Per-Mutation,train,9,1.8503924493863868,29
Per-Mutation,train,10,1.8331962569347353,29
Per-Mutation,train,11,1.8146512178011192,29
Per-Mutation,train,12,1.7972422325312705,29
Per-Mutation,train,13,1.7782025800286754,29
Per-Mutation,train,14,1.7598126130037581,29
Per-Mutation,train,15,1.7378100832387087,29
Per-Mutation,train,16,1.7221080954585326,29
Per-Mutation,train,17,1.7119568730923027,29
Per-Mutation,train,18,1.6952848711965767,29
Per-Mutation,train,19,1.6818761656567094,29
Per-Mutation,train,20,1.670111216283482,29
Per-Mutation,train,21,1.6530056399945043,29
Per-Mutation,train,22,1.640162886957288,29
Per-Mutation,train,23,1.6329959284082507,29
Per-Mutation,train,24,1.6215380016358534,29
Per-Mutation,train,25,1.6118519525814496,29
Per-Mutation,train,26,1.6032088014808341,29
Per-Mutation,train,27,1.5955589517130118,29
Per-Mutation,train,28,1.5898668298997054,29
Per-Mutation,train,29,1.5820884617900677,29
Per-Mutation,train,30,1.5771854988090552,29
Per-Mutation,train,31,1.5703678785982322,29
Per-Mutation,train,32,1.5602048406286304,29
Per-Mutation,train,33,1.5546184977785709,29
Per-Mutation,train,34,1.5475150933534716,29
Per-Mutation,train,35,1.5386972924453755,29
Per-Mutation,train,36,1.5307713693575262,29
Per-Mutation,train,37,1.5249629883141693,29
Per-Mutation,train,38,1.5207843239424952,29
Per-Mutation,train,39,1.515878946463672,29
Per-Mutation,train,40,1.5087252432654992,29
Per-Mutation,train,41,1.5025062138673975,29
Per-Mutation,train,42,1.4986211262229265,29
Per-Mutation,train,43,1.4948091199793296,29
Per-Mutation,train,44,1.490577463443912,29
Per-Mutation,train,45,1.4882001407871717,29
Per-Mutation,train,46,1.487272827960779,29
Per-Mutation,train,47,1.4855074861919098,29
Per-Mutation,train,48,1.4814067199840637,29
Per-Mutation,train,49,1.4774228854552431,29
Per-Mutation,val,0,1.7787352047982885,29
Per-Mutation,val,1,1.756738885759114,29
Per-Mutation,val,2,1.7568888766641964,29
Per-Mutation,val,3,1.7513351064484717,29
Per-Mutation,val,4,1.738097342826665,29
Per-Mutation,val,5,1.7216658461331844,29
Per-Mutation,val,6,1.7120166448262297,29
Per-Mutation,val,7,1.7002719146633403,29
Per-Mutation,val,8,1.693959069721643,29
Per-Mutation,val,9,1.687403899748205,29
Per-Mutation,val,10,1.6772325311286265,29
Per-Mutation,val,11,1.6683338133026508,29
Per-Mutation,val,12,1.663627827412173,29
Per-Mutation,val,13,1.6580583269852633,29
Per-Mutation,val,14,1.654714409985843,29
Per-Mutation,val,15,1.6493065073755746,29
Per-Mutation,val,16,1.6476601418076569,29
Per-Mutation,val,17,1.6465245983254866,29
Per-Mutation,val,18,1.6403996939308483,29
Per-Mutation,val,19,1.640113760659644,29
Per-Mutation,val,20,1.6383342087201145,29
Per-Mutation,val,21,1.6347897954306263,29
Per-Mutation,val,22,1.6303030489163934,29
Per-Mutation,val,23,1.6266583587682384,29
Per-Mutation,val,24,1.6227238838644402,29
Per-Mutation,val,25,1.6210323345536435,29
Per-Mutation,val,26,1.6199110288756726,29
Per-Mutation,val,27,1.618471280464756,29
Per-Mutation,val,28,1.6172205965223854,29
Per-Mutation,val,29,1.6167162895265912,29
Per-Mutation,val,30,1.6193418712973184,29
Per-Mutation,val,31,1.6194373206653825,29
Per-Mutation,val,32,1.6235702919111195,29
Per-Mutation,val,33,1.6251280999829334,29
Per-Mutation,val,34,1.6236914684506205,29
Per-Mutation,val,35,1.6204865026776998,29
Per-Mutation,val,36,1.6197135741833926,29
Per-Mutation,val,37,1.620750138405022,29
Per-Mutation,val,38,1.6184196512949924,29
Per-Mutation,val,39,1.6204647155931624,29
Per-Mutation,val,40,1.619687534627896,29
Per-Mutation,val,41,1.6199014886158754,29
Per-Mutation,val,42,1.6180595089132546,29
Per-Mutation,val,43,1.6181706819469235,29
Per-Mutation,val,44,1.6212293796385568,29
Per-Mutation,val,45,1.6218603830335936,29
Per-Mutation,val,46,1.6242170046245938,29
Per-Mutation,val,47,1.62133881510447,29
Per-Mutation,val,48,1.6218548662480567,29
Per-Mutation,val,49,1.622898512059679,29
Protein-Level,train,0,1.4209074273399844,36
Protein-Level,train,1,1.3935878521601366,36
Protein-Level,train,2,1.375913810972652,36
Protein-Level,train,3,1.3589779585921666,36
Protein-Level,train,4,1.338894143304544,36
Protein-Level,train,5,1.3177913834921264,36
Protein-Level,train,6,1.3030266671749473,36
Protein-Level,train,7,1.2816989465171227,36
Protein-Level,train,8,1.2666001278848331,36
Protein-Level,train,9,1.251995864813483,36
Protein-Level,train,10,1.236103235202052,36
Protein-Level,train,11,1.220886355713637,36
Protein-Level,train,12,1.2081857375632683,36
Protein-Level,train,13,1.1933119132738408,36
Protein-Level,train,14,1.1835985508694167,36
Protein-Level,train,15,1.170630788363437,36
Protein-Level,train,16,1.1577233729526308,36
Protein-Level,train,17,1.1500826943928826,36
Protein-Level,train,18,1.1399539068064453,36
Protein-Level,train,19,1.1312003633669572,36
Protein-Level,train,20,1.1222271041887655,36
Protein-Level,train,21,1.1136038553016123,36
Protein-Level,train,22,1.1055098199282993,36
Protein-Level,train,23,1.0992826620412093,36
Protein-Level,train,24,1.091503003226287,36
Protein-Level,train,25,1.0844369851325173,36
Protein-Level,train,26,1.077157740402569,36
Protein-Level,train,27,1.070709841739381,36
Protein-Level,train,28,1.06351225477385,36
Protein-Level,train,29,1.0572109211311371,36
Protein-Level,train,30,1.0495850270703515,36
Protein-Level,train,31,1.044435894812633,36
Protein-Level,train,32,1.0413609099840506,36
Protein-Level,train,33,1.0348565283740865,36
Protein-Level,train,34,1.0305370325649656,36
Protein-Level,train,35,1.0241643969848364,36
Protein-Level,train,36,1.0213020814810876,36
Protein-Level,train,37,1.0178048566828937,36
Protein-Level,train,38,1.0159632911258865,36
Protein-Level,train,39,1.013062558188973,36
Protein-Level,train,40,1.0073929949518483,36
Protein-Level,train,41,1.0022652649735928,36
Protein-Level,train,42,0.9970670962032611,36
Protein-Level,train,43,0.9920647714732542,36
Protein-Level,train,44,0.9893355628747774,36
Protein-Level,train,45,0.9863117981328666,36
Protein-Level,train,46,0.9830820578212146,36
Protein-Level,train,47,0.979755858697944,36
Protein-Level,train,48,0.9768331529812658,36
Protein-Level,train,49,0.9724189898945281,36
Protein-Level,train,50,0.9696520576173895,36
Protein-Level,train,51,0.9664112024560269,36
Protein-Level,train,52,0.9633954774291106,36
Protein-Level,train,53,0.9615523199944848,36
Protein-Level,train,54,0.9570407889642678,36
Protein-Level,train,55,0.9547989945074825,36
Protein-Level,train,56,0.950989244611152,36
Protein-Level,train,57,0.9496453588693142,36
Protein-Level,train,58,0.9472968677315114,36
Protein-Level,train,59,0.9433310728798635,36
Protein-Level,train,60,0.9410770571101691,36
Protein-Level,train,61,0.9383657686519755,36
Protein-Level,train,62,0.9364316512387388,36
Protein-Level,train,63,0.9344076004304818,36
Protein-Level,train,64,0.9323369999737021,36
Protein-Level,train,65,0.9303876760677294,36
Protein-Level,train,66,0.9293294739726773,36
Protein-Level,train,67,0.927395186668009,36
Protein-Level,train,68,0.9257123016992318,36
Protein-Level,train,69,0.9240038574313898,36
Protein-Level,train,70,0.9223457811558327,36
Protein-Level,train,71,0.9212430449268139,36
Protein-Level,train,72,0.9194404507415804,36
Protein-Level,train,73,0.9181209352800022,36
Protein-Level,train,74,0.9161653484684736,36
Protein-Level,train,75,0.9145855496111259,36
Protein-Level,train,76,0.9129298254144439,36
Protein-Level,train,77,0.911433263515987,36
Protein-Level,train,78,0.9100738791814249,36
Protein-Level,train,79,0.9091828979507705,36
Protein-Level,train,80,0.908638054072752,36
Protein-Level,train,81,0.9067538398107968,36
Protein-Level,train,82,0.9057777542797608,36
Protein-Level,train,83,0.9037497409015702,36
Protein-Level,train,84,0.9022399383615736,36
Protein-Level,train,85,0.9014930339745353,36
Protein-Level,train,86,0.9006021781198583,36
Protein-Level,val,0,3.197574046798352,36
Protein-Level,val,1,3.191755654219446,36
Protein-Level,val,2,3.1866575204278225,36
Protein-Level,val,3,3.185941051806224,36
Protein-Level,val,4,3.18922807673686,36
Protein-Level,val,5,3.1878866785040176,36
Protein-Level,val,6,3.183825148231888,36
Protein-Level,val,7,3.183285989616079,36
Protein-Level,val,8,3.169156183575527,36
Protein-Level,val,9,3.1660034442181577,36
Protein-Level,val,10,3.160907263147028,36
Protein-Level,val,11,3.158909370859118,36
Protein-Level,val,12,3.1581510819496743,36
Protein-Level,val,13,3.1593649157204946,36
Protein-Level,val,14,3.152149000081085,36
Protein-Level,val,15,3.1530214871915896,36
Protein-Level,val,16,3.156242490286535,36
Protein-Level,val,17,3.1545192464390137,36
Protein-Level,val,18,3.1502981123284757,36
Protein-Level,val,19,3.142385028207017,36
Protein-Level,val,20,3.1463787224350126,36
Protein-Level,val,21,3.1451105695306683,36
Protein-Level,val,22,3.1490498798419377,36
Protein-Level,val,23,3.1514794073449566,36
Protein-Level,val,24,3.14815140047709,36
Protein-Level,val,25,3.1474590562099167,36
Protein-Level,val,26,3.141875867840259,36
Protein-Level,val,27,3.141302538171606,36
Protein-Level,val,28,3.1402128788076697,36
Protein-Level,val,29,3.1386905773455283,36
Protein-Level,val,30,3.136267913650909,36
Protein-Level,val,31,3.132211225874597,36
Protein-Level,val,32,3.1341546326920717,36
Protein-Level,val,33,3.131265736856952,36
Protein-Level,val,34,3.1317667715188198,36
Protein-Level,val,35,3.1309653123957,36
Protein-Level,val,36,3.1289821522215298,36
Protein-Level,val,37,3.130118619890203,36
Protein-Level,val,38,3.1319988897883184,36
Protein-Level,val,39,3.1332535543622533,36
Protein-Level,val,40,3.1367058391462836,36
Protein-Level,val,41,3.1384896608023247,36
Protein-Level,val,42,3.141760992947425,36
Protein-Level,val,43,3.1436969008789517,36
Protein-Level,val,44,3.1458572914751137,36
Protein-Level,val,45,3.1488253953272634,36
Protein-Level,val,46,3.1489053008474683,36
Protein-Level,val,47,3.1541810061772764,36
Protein-Level,val,48,3.1529982537641636,36
Protein-Level,val,49,3.1570900880975543,36
Protein-Level,val,50,3.1623565859166654,36
Protein-Level,val,51,3.1639400841930225,36
Protein-Level,val,52,3.164308983354368,36
Protein-Level,val,53,3.166010957289418,36
Protein-Level,val,54,3.1658540770315926,36
Protein-Level,val,55,3.1709645626319256,36
Protein-Level,val,56,3.1728978057050763,36
Protein-Level,val,57,3.172575792698751,36
Protein-Level,val,58,3.1756710545711284,36
Protein-Level,val,59,3.1741392185410366,36
Protein-Level,val,60,3.175364443647965,36
Protein-Level,val,61,3.176047142041666,36
Protein-Level,val,62,3.1753413052466177,36
Protein-Level,val,63,3.1768465866197455,36
Protein-Level,val,64,3.180619045877506,36
Protein-Level,val,65,3.1837449716262864,36
Protein-Level,val,66,3.1831382123081884,36
Protein-Level,val,67,3.183789761225688,36
Protein-Level,val,68,3.182829274070269,36
Protein-Level,val,69,3.182832936783724,36
Protein-Level,val,70,3.183124579377264,36
Protein-Level,val,71,3.184867683769252,36
Protein-Level,val,72,3.1882487895668152,36
Protein-Level,val,73,3.1912452414062646,36
Protein-Level,val,74,3.191623621569019,36
Protein-Level,val,75,3.192132415333984,36
Protein-Level,val,76,3.194804370035791,36
Protein-Level,val,77,3.1980086138044173,36
Protein-Level,val,78,3.197387631224295,36
